
course,platform,skill,level
Python for Everybody,Coursera,Python,Beginner
Machine Learning A-Z,Udemy,Machine Learning,Intermediate
Web Development Bootcamp,Udemy,HTML,Beginner
React Complete Guide,Udemy,React,Intermediate
SQL for Data Analysis,Coursera,SQL,Beginner
AWS Cloud Practitioner,Amazon,AWS,Beginner
Digital Marketing Course,Udemy,SEO,Beginner
Graphic Design Basics,Coursera,Photoshop,Beginner
UI/UX Design,Coursera,Figma,Beginner
Business Analytics,Coursera,Excel,Intermediate
Finance Fundamentals,Coursera,Finance,Beginner
Communication Skills,Udemy,Communication,Beginner
Public Speaking,Udemy,Communication,Beginner
Java Programming,Udemy,Java,Beginner
Data Visualization,Coursera,Python,Intermediate
