
skill,category
Python,Technical
Machine Learning,Technical
SQL,Technical
Java,Technical
HTML,Technical
CSS,Technical
JavaScript,Technical
React,Technical
AWS,Technical
Docker,Technical
Excel,Technical
Power BI,Technical
Accounting,Technical
Finance,Technical
SEO,Technical
Photoshop,Technical
Figma,Technical
AutoCAD,Technical
Biology,Technical
Legal Knowledge,Technical
Communication,Soft Skill
Leadership,Soft Skill
Problem Solving,Soft Skill
Critical Thinking,Soft Skill
Time Management,Soft Skill
Creativity,Soft Skill
Adaptability,Soft Skill
